state,district,quarter,property_type,sales_count,total_value_rm,mean_price_rm,median_price_rm,p25_price_rm,p75_price_rm,under_300k,under_500k
Johor,Batu Pahat,2024Q1,all,325.0,130079000.0,400243.08,360000.0,220000.0,520000.0,120.0,241.0
Johor,Batu Pahat,2024Q1,cluster,1.0,660000.0,660000.0,660000.0,660000.0,660000.0,0.0,0.0
Johor,Batu Pahat,2024Q1,condo,3.0,928000.0,309333.33,320000.0,275000.0,349000.0,1.0,3.0
Johor,Batu Pahat,2024Q1,detached,8.0,6721000.0,840125.0,587500.0,493750.0,963750.0,0.0,3.0
Johor,Batu Pahat,2024Q1,flat,4.0,400000.0,100000.0,97500.0,85000.0,112500.0,4.0,4.0
Johor,Batu Pahat,2024Q1,low_cost_flat,4.0,302000.0,75500.0,67000.0,52250.0,90250.0,4.0,4.0
Johor,Batu Pahat,2024Q1,low_cost_house,53.0,8027000.0,151452.83,145000.0,130000.0,175000.0,52.0,53.0
Johor,Batu Pahat,2024Q1,semi_detached,43.0,27751000.0,645372.09,565000.0,484000.0,762500.0,3.0,15.0
Johor,Batu Pahat,2024Q1,terrace,209.0,85290000.0,408086.12,375000.0,300000.0,500000.0,56.0,159.0
Johor,Batu Pahat,2024Q2,all,355.0,145593000.0,410121.13,380000.0,250000.0,520000.0,120.0,261.0
Johor,Batu Pahat,2024Q2,cluster,3.0,3280000.0,1093333.33,1200000.0,840000.0,1400000.0,0.0,1.0
Johor,Batu Pahat,2024Q2,condo,2.0,703000.0,351500.0,351500.0,349750.0,353250.0,0.0,2.0
Johor,Batu Pahat,2024Q2,detached,9.0,7402000.0,822444.44,875000.0,467000.0,1200000.0,0.0,4.0
Johor,Batu Pahat,2024Q2,flat,6.0,570000.0,95000.0,83000.0,64500.0,93250.0,6.0,6.0
Johor,Batu Pahat,2024Q2,low_cost_flat,2.0,190000.0,95000.0,95000.0,77500.0,112500.0,2.0,2.0
Johor,Batu Pahat,2024Q2,low_cost_house,49.0,7718000.0,157510.2,155000.0,130000.0,190000.0,49.0,49.0
Johor,Batu Pahat,2024Q2,semi_detached,44.0,27700000.0,629545.45,560000.0,457500.0,718750.0,0.0,17.0
Johor,Batu Pahat,2024Q2,terrace,240.0,98030000.0,408458.33,390000.0,300000.0,500250.0,63.0,180.0
Johor,Batu Pahat,2024Q3,all,333.0,141694000.0,425507.51,370000.0,280000.0,510000.0,107.0,249.0
Johor,Batu Pahat,2024Q3,cluster,3.0,1585000.0,528333.33,490000.0,460000.0,577500.0,0.0,2.0
Johor,Batu Pahat,2024Q3,condo,3.0,963000.0,321000.0,300000.0,287500.0,344000.0,2.0,3.0
Johor,Batu Pahat,2024Q3,detached,5.0,2558000.0,511600.0,380000.0,283000.0,650000.0,2.0,3.0
Johor,Batu Pahat,2024Q3,flat,3.0,236000.0,78666.67,88000.0,65500.0,96500.0,3.0,3.0
Johor,Batu Pahat,2024Q3,low_cost_flat,5.0,427000.0,85400.0,80000.0,62000.0,85000.0,5.0,5.0
Johor,Batu Pahat,2024Q3,low_cost_house,32.0,5013000.0,156656.25,155000.0,129500.0,181000.0,32.0,32.0
Johor,Batu Pahat,2024Q3,semi_detached,38.0,32339000.0,851026.32,716000.0,597750.0,1067500.0,0.0,7.0
Johor,Batu Pahat,2024Q3,terrace,244.0,98573000.0,403987.7,372500.0,300000.0,490750.0,63.0,194.0
Johor,Batu Pahat,2024Q4,all,155.0,71774000.0,463058.06,425000.0,320000.0,572500.0,35.0,103.0
Johor,Batu Pahat,2024Q4,cluster,1.0,850000.0,850000.0,850000.0,850000.0,850000.0,0.0,0.0
Johor,Batu Pahat,2024Q4,condo,4.0,861000.0,215250.0,216500.0,99250.0,332500.0,2.0,4.0
Johor,Batu Pahat,2024Q4,detached,6.0,4580000.0,763333.33,550000.0,462500.0,1185000.0,1.0,3.0
Johor,Batu Pahat,2024Q4,flat,3.0,241000.0,80333.33,68000.0,61500.0,93000.0,3.0,3.0
Johor,Batu Pahat,2024Q4,low_cost_flat,3.0,250000.0,83333.33,65000.0,63500.0,94000.0,3.0,3.0
Johor,Batu Pahat,2024Q4,low_cost_house,5.0,730000.0,146000.0,150000.0,125000.0,170000.0,5.0,5.0
Johor,Batu Pahat,2024Q4,semi_detached,25.0,16746000.0,669840.0,607000.0,498000.0,762000.0,0.0,9.0
Johor,Batu Pahat,2024Q4,terrace,108.0,47516000.0,439962.96,400000.0,325000.0,547000.0,21.0,76.0
Johor,Batu Pahat,2025Q1,all,96.0,39288000.0,409250.0,375000.0,287500.0,491250.0,27.0,77.0
Johor,Batu Pahat,2025Q1,cluster,1.0,760000.0,760000.0,760000.0,760000.0,760000.0,0.0,0.0
Johor,Batu Pahat,2025Q1,condo,4.0,588000.0,147000.0,126500.0,100000.0,173500.0,4.0,4.0
Johor,Batu Pahat,2025Q1,detached,3.0,2170000.0,723333.33,850000.0,625000.0,885000.0,0.0,1.0
Johor,Batu Pahat,2025Q1,flat,4.0,301000.0,75250.0,45000.0,43750.0,76500.0,4.0,4.0
Johor,Batu Pahat,2025Q1,low_cost_flat,2.0,132000.0,66000.0,66000.0,53000.0,79000.0,2.0,2.0
Johor,Batu Pahat,2025Q1,low_cost_house,4.0,610000.0,152500.0,160000.0,132500.0,180000.0,4.0,4.0
Johor,Batu Pahat,2025Q1,semi_detached,11.0,6582000.0,598363.64,480000.0,360000.0,527500.0,0.0,8.0
Johor,Batu Pahat,2025Q1,terrace,67.0,28145000.0,420074.63,395000.0,330000.0,490000.0,13.0,54.0
Johor,Batu Pahat,2025Q2,all,136.0,57133000.0,420095.59,400000.0,317000.0,498250.0,32.0,106.0
Johor,Batu Pahat,2025Q2,condo,3.0,638000.0,212666.67,250000.0,165000.0,279000.0,2.0,3.0
Johor,Batu Pahat,2025Q2,detached,1.0,650000.0,650000.0,650000.0,650000.0,650000.0,0.0,0.0
Johor,Batu Pahat,2025Q2,flat,2.0,120000.0,60000.0,60000.0,50000.0,70000.0,2.0,2.0
Johor,Batu Pahat,2025Q2,low_cost_house,8.0,1372000.0,171500.0,160000.0,126000.0,217500.0,8.0,8.0
Johor,Batu Pahat,2025Q2,semi_detached,21.0,11472000.0,546285.71,528000.0,400000.0,700000.0,3.0,9.0
Johor,Batu Pahat,2025Q2,terrace,101.0,42881000.0,424564.36,413000.0,349000.0,490000.0,17.0,84.0
Johor,Batu Pahat,2025Q3,all,131.0,55595000.0,424389.31,413000.0,290000.0,514000.0,36.0,98.0
Johor,Batu Pahat,2025Q3,cluster,1.0,120000.0,120000.0,120000.0,120000.0,120000.0,1.0,1.0
Johor,Batu Pahat,2025Q3,condo,4.0,1020000.0,255000.0,287500.0,225000.0,317500.0,2.0,4.0
Johor,Batu Pahat,2025Q3,detached,3.0,810000.0,270000.0,270000.0,180000.0,360000.0,2.0,3.0
Johor,Batu Pahat,2025Q3,flat,1.0,80000.0,80000.0,80000.0,80000.0,80000.0,1.0,1.0
Johor,Batu Pahat,2025Q3,low_cost_house,12.0,2305000.0,192083.33,225000.0,130000.0,235500.0,12.0,12.0
