state_name,year,income_mean,income_median,expenditure_mean,gini,poverty
Johor,2022,8517,6879,5342,0.366,4.6
Johor,2024,9484,7712,5927,0.348,2.5
Kedah,2022,5550,4402,3765,0.359,9.0
Kedah,2024,5793,4895,4028,0.334,8.4
Kelantan,2022,4885,3614,3505,0.385,13.2
Kelantan,2024,5265,4083,3825,0.356,11.5
Melaka,2022,8057,6210,5707,0.37,4.2
Melaka,2024,8686,6891,6212,0.337,3.0
Negeri Sembilan,2022,6788,5226,4678,0.369,4.4
Negeri Sembilan,2024,7305,5591,5115,0.343,4.0
Pahang,2022,5777,4753,4107,0.308,6.3
Pahang,2024,6066,4975,4368,0.319,5.9
Pulau Pinang,2022,8267,6502,5322,0.371,2.0
Pulau Pinang,2024,9152,7386,5850,0.311,1.9
Perak,2022,5779,4494,3903,0.368,7.5
Perak,2024,6173,4687,4232,0.298,6.9
Perlis,2022,5664,4713,3834,0.336,4.0
Perlis,2024,5996,4950,4084,0.334,3.6
Selangor,2022,12233,9983,6770,0.361,1.5
Selangor,2024,13296,10726,7266,0.332,0.9
Terengganu,2022,7248,5878,4796,0.326,6.2
Terengganu,2024,7627,6627,5219,0.263,5.8
Sabah,2022,6171,4577,3342,0.395,19.7
Sabah,2024,6498,4890,3547,0.405,17.7
Sarawak,2022,6457,4978,3915,0.382,10.8
Sarawak,2024,6947,5504,4281,0.361,8.4
W.P. Kuala Lumpur,2022,13325,10234,7823,0.38,1.4
W.P. Kuala Lumpur,2024,13985,10802,8178,0.375,1.0
W.P. Labuan,2022,8250,6904,4176,0.3,2.5
W.P. Labuan,2024,8555,7383,4497,0.327,2.0
W.P. Putrajaya,2022,13473,10056,8897,0.368,0.1
W.P. Putrajaya,2024,13846,10769,9186,0.324,0.2
