amount,date,source
956.00,2025-08-03,E-hailing
1003.80,2025-08-10,E-hailing
1051.60,2025-08-17,E-hailing
1147.20,2025-08-24,E-hailing
621.40,2025-08-27,Food delivery
1052.00,2025-09-03,E-hailing
1104.60,2025-09-10,e-HAILING
1157.20,2025-09-17,E-hailing
1262.40,2025-09-24,E-hailing
683.80,2025-09-27,Food delivery
986.00,2025-10-03,E-hailing
1035.30,2025-10-10,E-hailing
1084.60,2025-10-17,E-hailing
1183.20,2025-10-24,E-hailing
640.90,2025-10-27,Food delivery
1096.00,2025-11-03,E-hailing
1150.80,2025-11-10,E-hailing
1205.60,2025-11-17,E-hailing
1315.20,2025-11-24,E-hailing
712.40,2025-11-27,Food delivery
1324.00,2025-12-03,E-hailing
1390.20,2025-12-10,E-hailing
1456.40,2025-12-17,E-hailing
1588.80,2025-12-24,E-hailing
860.60,2025-12-27,Food delivery
876.00,2026-01-03,E-hailing
919.80,2026-01-10,E-hailing
963.60,2026-01-17,E-hailing
1051.20,2026-01-24,E-hailing
569.40,2026-01-27,Food delivery
782.00,2026-02-03,E-hailing
821.10,2026-02-10,E-hailing
860.20,2026-02-17,E-hailing
938.40,2026-02-24,E-hailing
508.30,2026-02-27,Food delivery
1168.00,2026-03-03,E-hailing
1226.40,2026-03-10,E-hailing
1284.80,2026-03-17,E-hailing
1401.60,2026-03-24,E-hailing
759.20,2026-03-27,"  Food   delivery  "
938.00,2026-04-03,E-hailing
984.90,2026-04-10,E-hailing
1031.80,2026-04-17,E-hailing
1125.60,2026-04-24,E-hailing
609.70,2026-04-27,Food delivery
1112.00,2026-05-03,E-hailing
1167.60,2026-05-10,E-hailing
1223.20,2026-05-17,E-hailing
1334.40,2026-05-24,E-hailing
722.80,2026-05-27,Food delivery
1002.00,2026-06-03,E-hailing
1052.10,2026-06-10,E-hailing
1102.20,2026-06-17,E-hailing
1202.40,2026-06-24,E-hailing
651.30,2026-06-27,Food delivery
1158.00,2026-07-03,E-hailing
1215.90,2026-07-10,E-hailing
1273.80,2026-07-17,E-hailing
1389.60,2026-07-24,E-hailing
752.70,2026-07-27,Food delivery
oops,2026-07-20,Broken amount
0.00,2026-07-21,Zero amount
10.123,2026-07-22,Too many decimals
100.00,not-a-date,Broken date
100.00,2026-02-30,Impossible date
100.00,9999-12-31,Future date
100.00,2026-07-28,
